awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Silver 受賞店,ボニュ,参宮橋駅 356m , フレンチ、ケーキ,美食への真摯な想いが誘う旨みの極致。余分なものを加えずシンプルに仕上げた鮮烈なる一皿を。,"￥40,000～￥49,999","￥40,000～￥49,999",4.39,-,https://tabelog.com/tokyo/A1304/A130401/13184186/,完全予約制,ご予約日の1週間前よりキャンセル料として予約時の合計金額100%頂戴いたします。,JR代々木駅 徒歩10分京王新線初台駅 徒歩6分小田急線参宮橋駅 徒歩6分 参宮橋駅から356m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.681253338692066,139.69127688443731",080-7811-3570,東京都渋谷区代々木4-22-17 クイーンズ代々木 1F,302
食べログ スイーツ TOKYO 百名店 2023 選出店,アテスウェイ,西荻窪駅 992m , ケーキ、スイーツ,,～￥999,～￥999,4.06,月曜日、火曜日,https://tabelog.com/tokyo/A1320/A132001/13005853/,予約可,ホールケーキのみ予約可能,●吉祥寺駅北口から・徒歩…18分・バス…関東バス3のりば「西10　西荻窪駅」行き、「女子大前」下車、徒歩1分。●西荻窪駅北口から・徒歩…15分・バス…関東バス1のりば「西10　吉祥寺駅北口」行き、「女子大前」下車、徒歩1分。 西荻窪駅から992m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.709034438642405,139.59072268478843",0422-29-0888,東京都武蔵野市吉祥寺東町3-8-8 カサ吉祥寺２,2279
食べログ スイーツ TOKYO 百名店 2023 選出店,パティスリー リョーコ,高輪台駅 425m , ケーキ、シュークリーム、洋菓子,,-,-,3.98,月曜日、火曜日、水曜日、木曜日,https://tabelog.com/tokyo/A1316/A131603/13137010/,完全予約制,公式サイトより予約,JR「品川駅」高輪口より徒歩15分JR「高輪ゲートウェイ駅」より徒歩10分京浜急行電鉄 本線「品川駅」高輪口より徒歩15分都営バス・コミュニティバス ちぃばす「高輪警察署前」下車、徒歩0分都営地下鉄 浅草線「高輪台駅」A1出口より徒歩3分都営地下鉄 三田線・東京メトロ 南北線「白金台駅」2出口より徒歩8分 高輪台駅から425m,,,カード可 電子マネー不可 QRコード決済不可,"35.635044938734644,139.7327995839415",03-5422-6942,東京都港区高輪3-2-8 ,1061
食べログ スイーツ TOKYO 百名店 2023 選出店,エーグルドゥース,目白駅 559m , ケーキ、カフェ、マカロン,,"￥1,000～￥1,999","￥1,000～￥1,999",3.97,月曜日、火曜日,https://tabelog.com/tokyo/A1305/A130502/13005641/,予約可,土日祝と繁忙期は電話での予約業務停止,・JR山手線「目白」駅より、徒歩約８～10分・西武池袋線「椎名町」駅より、徒歩８～10分・都バス「下落合三丁目」バス停より徒歩２分（新宿駅西口、池袋駅、落合南長崎駅などから） 目白駅から559m,11:00 - 17:00,■ 定休日不定休月曜日・火曜日が祝日の時は営業,カード不可 電子マネー不可 QRコード決済不可,"35.72246703866888,139.70063158484706",03-5988-0330,東京都新宿区下落合3-22-13 ,1878
食べログ スイーツ TOKYO 百名店 2023 選出店,パティスリー・パリセヴェイユ,自由が丘駅 196m , ケーキ、カフェ、パン,,"￥1,000～￥1,999","￥1,000～￥1,999",3.96,水曜日、木曜日,https://tabelog.com/tokyo/A1317/A131703/13005198/,予約可,当日予約不可キャンセル・予約変更は前々日までなら対応可,東急東横線・東急大井町線「自由が丘」駅(正面口)から徒歩3分 自由が丘駅から196m,,,カード不可 電子マネー不可 QRコード決済不可,"35.60696253873139,139.66657328370425",03-5731-3230,東京都目黒区自由が丘2-14-5 館山ビル 1F,2501
食べログ スイーツ TOKYO 百名店 2023 選出店,パティスリー カーヴァンソン,飯田橋駅 410m , ケーキ、チョコレート、洋菓子,,-,-,3.95,-,https://tabelog.com/tokyo/A1309/A130905/13035194/,予約可,ご予約はOMAKASEから可能,東京メトロ有楽町線・南北線【飯田橋駅】徒歩５分ＪＲ中央線【飯田橋駅】東口　徒歩６分東京メトロ東西線【飯田橋駅】徒歩７分都営地下鉄大江戸線【飯田橋駅】徒歩７分都営地下鉄大江戸線【牛込神楽坂駅】徒歩７分 飯田橋駅から410m,,,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,"35.70387040038192,139.74115841819477",03-5228-3931,東京都新宿区筑土八幡町1-2 第３ＮＫビル 1Ｆ,689
食べログ スイーツ TOKYO 百名店 2023 選出店,オーボンヴュータン 尾山台店,尾山台駅 374m , ケーキ、惣菜・デリ、カフェ,,"￥1,000～￥1,999","￥1,000～￥1,999",3.94,火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131715/13181654/,予約可,カヌレは、4日前から準備するので、それ以上の余裕を持って予約しなければならない。ガトー・ピレネーは、事前予約制。,東急大井町線「尾山台」駅から徒歩7分東急バス　園01（田園調布－千歳船橋線）「東京都市大北入口」バス停下車 尾山台駅から374m,10:00 - 17:00,■ 定休日詳細は公式サイトよりご確認ください,カード可 （VISA、Master、AMEX） 電子マネー不可 QRコード決済不可,"35.60406533872851,139.65175868368536",03-3703-8428,東京都世田谷区等々力2-1-3 ,1025
食べログ スイーツ TOKYO 百名店 2023 選出店,リョウラ,用賀駅 289m , ケーキ、洋菓子,,"￥3,000～￥3,999","￥3,000～￥3,999",3.94,火曜日、水曜日,https://tabelog.com/tokyo/A1317/A131707/13188208/,予約可,,田園都市線用賀駅より徒歩5分 用賀駅から289m,12:00 - 17:00,■ 定休日水曜日（不定休）,カード可 電子マネー可 QRコード決済可 （PayPay）,"35.62893223870676,139.6331102839496",03-6447-9406,東京都世田谷区用賀4-29-5 グリーンヒルズ用賀ST 1F,694
食べログ スイーツ TOKYO 百名店 2023 選出店,アヴランシュ・ゲネー,春日駅 26m , ケーキ、チョコレート,,"￥1,000～￥1,999","￥1,000～￥1,999",3.93,月曜日、火曜日,https://tabelog.com/tokyo/A1310/A131004/13186450/,予約可,ホールケーキのみ予約可能,都営三田線・大江戸線春日駅(A2出口)から徒歩1分、東京メトロ南北線・丸ノ内線後楽園駅から徒歩3分、JR水道橋駅から徒歩10分 春日駅から26m,11:00 - 19:00,■ 営業時間※詳細はホームページを確認■ 定休日他に不定休あり,カード不可 電子マネー不可 QRコード決済不可,"35.709443738694006,139.7535775846784",03-6883-6619,東京都文京区本郷4-17-6 1F,1051
食べログ スイーツ TOKYO 百名店 2023 選出店,フレデリック カッセル 銀座三越店,銀座駅 175m , ケーキ、スイーツ、チョコレート,,-,-,3.92,-,https://tabelog.com/tokyo/A1301/A130101/13116839/,予約可,（テイクアウトのみ）,東京メトロ銀座線 銀座駅より徒歩1分 銀座駅から175m,10:00 - 20:00,■ 定休日銀座三越の営業日に準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,"35.67128723872218,139.76594308428434",03-3535-1930,東京都中央区銀座4-6-16 銀座三越 B2F,1436
