awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review
The Tabelog Award 2024 Gold 受賞店,蒼,六本木駅 616m , イノベーティブ、フレンチ,,"￥40,000～￥49,999","￥40,000～￥49,999",4.57,-,https://tabelog.com/tokyo/A1307/A130701/13243463/,完全予約制,ご予約はOMAKASEから受付しております。(GoogleなどでOMAKASEと検索すると出てきます。),東京メトロ 日比谷線 六本木駅 1a出口より 徒歩7分都営地下鉄 大江戸線 六本木駅 3番出口より 徒歩8分ちぃばす 西麻布バス停より 徒歩1分【詳細】六本木通り沿いにありますMaison L'ECRINさんの右隣の白いらせん階段を上がって頂いた2Fにございます。 六本木駅から616m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66003533871637,139.72525778419921",03-6434-9829,東京都港区西麻布3-21-3 オリンピアード麻布霞坂 2F,414
The Tabelog Award 2024 Gold 受賞店,カンテサンス,北品川駅 582m , フレンチ,,"￥30,000～￥39,999","￥30,000～￥39,999",4.54,日曜日,https://tabelog.com/tokyo/A1314/A131405/13159567/,予約可,03-6277-0485 （お問い合わせ・リコンファームなど）03-6277-0090 （ご予約専用）,京浜急行電鉄 本線「北品川駅」高輪口より、徒歩5分JR山手線・京浜東北線・東海道線・上野東京ライン・横須賀線・東海道新幹線「品川駅」高輪口より、徒歩10分京浜急行電鉄 本線「品川駅」高輪口より、徒歩10分 北品川駅から582m,17:00 - 23:30,■ 営業時間【2部制】・17時〜20時・20時30分～23時30分■ 定休日日曜日中心に月6日、年末年始、夏期休暇,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,"35.6239368387418,139.7331092838291",03-6277-0090,東京都品川区北品川6-7-29 ガーデンシティ品川 御殿山 1F,1553
The Tabelog Award 2024 Silver 受賞店,レフェルヴェソンス,表参道駅 832m , フレンチ,食材本来の魅力を生かした、斬新なフレンチに胸が躍る。,"￥50,000～￥59,999","￥50,000～￥59,999",4.5,月曜日、日曜日,https://tabelog.com/tokyo/A1306/A130602/13116356/,予約可,※ご予約日の3日前までにお電話やメールにて確認が取れない場合、キャンセルのお手続きをさせて頂きます。※人数のご変更・日程のご変更・キャンセルなど、恐れ入りますが４日前までにお知らせ下さいますようお願い致します。※５名様以上の人数のご変更・日程のご変更・キャンセルなどは１週間前までにお知らせくださいますようお願い致します。　,地下鉄表参道駅から12分 表参道駅から832m,17:30 - 23:30,■ 定休日※火曜日、水曜日はディナーのみの営業となります,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.66021363871439,139.71940488420512",03-5766-9500,東京都港区西麻布2-26-4 ,1513
The Tabelog Award 2024 Silver 受賞店,トレイス,港区 , イノベーティブ、フレンチ,気鋭のシェフがその日限りのコースを作り上げる、完全会員制イノベーティブレストラン。,"￥40,000～￥49,999","￥40,000～￥49,999",4.49,-,https://tabelog.com/tokyo/A1307/A130703/13246316/,完全予約制,,最寄駅：東京メトロ日比谷線「広尾駅」,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"0.0,0.0",非公開,東京都港区 ,212
The Tabelog Award 2024 Silver 受賞店,ロオジエ,銀座駅 362m , フレンチ,伝統と革新が調和する、日本が世界に誇る最高峰のグランメゾン,"￥20,000～￥29,999","￥20,000～￥29,999",4.47,月曜日、日曜日,https://tabelog.com/tokyo/A1301/A130101/13002607/,完全予約制,予約専用ダイヤル：0120-156-051/ 03-3571-6050電話予約受付時間：10：00 ～ 20：00 (営業日のみ),地下鉄銀座駅から徒歩７分JR新橋駅銀座口から6分JR有楽町駅から８分 銀座駅から362m,11:30 - 15:00L.O. 12:30,■ 定休日祝日不定休・夏季（8月中旬）・年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （d払い）,"35.66964713872172,139.76124418427105",03-3571-6050,東京都中央区銀座7-5-5 ,1282
The Tabelog Award 2024 Gold 受賞店,グルマンディーズ,広尾駅 707m , フレンチ(ビストロ),本場フランスで腕を磨いたシェフによる、新鮮な和牛とワインを楽しむフレンチ・ビストロ,"￥20,000～￥29,999","￥20,000～￥29,999",4.47,日曜日,https://tabelog.com/tokyo/A1307/A130701/13190448/,完全予約制,紹介制事前キャンセルは承りますが、当日無断キャンセルの場合状況によっては料金をご請求させていただく場合が御座います。,広尾駅から707m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.658075438717205,139.7239831841803",03-6455-5338,東京都港区西麻布3丁目17-23 プティコワン西麻布2F,305
The Tabelog Award 2024 Silver 受賞店,ete,代々木上原駅 385m , イノベーティブ、フレンチ,新進気鋭の女性シェフが織りなす、自分だけのオートクチュールコース。,"￥100,000～","￥100,000～",4.45,-,https://tabelog.com/tokyo/A1318/A131811/13249143/,完全予約制,,代々木上原駅から385m,,,カード可 電子マネー不可 QRコード決済不可,"35.670581238696386,139.683504684335",不明の為情報お待ちしております,東京都渋谷区西原3-23-1 ,107
The Tabelog Award 2024 Silver 受賞店,銀座 大石,銀座一丁目駅 261m , フレンチ,,"￥20,000～￥29,999","￥20,000～￥29,999",4.43,日曜日,https://tabelog.com/tokyo/A1301/A130101/13238352/,完全予約制,現在、ネット予約はOMAKASEからのみ受付,銀座一丁目駅から261m,17:00 - 20:00,■ 定休日日曜日,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.672072238722436,139.7683141842906",03-6278-8183,東京都中央区銀座2-10-11 マロニエ通り銀座館 2F,646
The Tabelog Award 2024 Bronze 受賞店,長谷川 稔,広尾駅 165m , イノベーティブ、フレンチ、イタリアン,長谷川稔から薫 HIROOへ,"￥50,000～￥59,999","￥50,000～￥59,999",4.4,-,https://tabelog.com/tokyo/A1307/A130703/13220575/,完全予約制,全てのお客様一斉スタートとさせて頂きます。もし大幅にお遅れになると、申し訳ありませんが途中その時点からお料理の提供とさせて頂きます。ご了承くださいませ。ご予約されたお席の譲渡や、ワインのお持ち込みはお断りしております。,広尾駅から徒歩3分 広尾駅から165m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65108435298902,139.723723963157",03-6712-7762,東京都港区南麻布4-5-66 ,249
The Tabelog Award 2024 Silver 受賞店,ガストロノミー ジョエル・ロブション,恵比寿駅 683m , フレンチ,ジョエル・ロブション氏の神髄を味わうグラン・メゾン。,"￥100,000～","￥100,000～",4.39,-,https://tabelog.com/tokyo/A1303/A130302/13009310/,予約可,,JR恵比寿駅東口から動く通路「恵比寿スカイウォーク」で約5分 恵比寿駅から683m,17:30 - 22:00L.O. 料理20:00,■ 営業時間Lunch12:30最終入店時間土日祝日のみ営業Dinner19:30最終入店時間■ 定休日不定休（恵比寿ガーデンプレイスに準ずる）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.64189545339479,139.71455125913394",03-5424-1347,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス,1767
